suite,case_id,status,detail
hash_verify,hash_verify_empty,Pass,"roundtrip+wrong"
hash_verify,hash_verify_one_byte,Pass,"roundtrip+wrong"
hash_verify,hash_verify_short,Pass,"roundtrip+wrong"
hash_verify,hash_verify_ascii,Pass,"roundtrip+wrong"
hash_verify,hash_verify_long_4k,Pass,"roundtrip+wrong"
hash_verify,hash_verify_binary,Pass,"roundtrip+wrong"
hash_verify,hash_verify_embedded_nul,Pass,"roundtrip+wrong"
hash_verify,hash_verify_invalid_utf8_bytes,Pass,"roundtrip+wrong"
hash_verify,hash_verify_repeated,Pass,"roundtrip+wrong"
hash_verify,hash_verify_rand_0,Pass,"rand ok"
hash_verify,hash_verify_rand_1,Pass,"rand ok"
hash_verify,hash_verify_rand_2,Pass,"rand ok"
hash_verify,hash_verify_rand_3,Pass,"rand ok"
hash_verify,hash_verify_rand_4,Pass,"rand ok"
hash_verify,hash_verify_rand_5,Pass,"rand ok"
hash_verify,hash_verify_rand_6,Pass,"rand ok"
hash_verify,hash_verify_rand_7,Pass,"rand ok"
hash_verify,hash_verify_rand_8,Pass,"rand ok"
hash_verify,hash_verify_rand_9,Pass,"rand ok"
hash_verify,hash_verify_rand_10,Pass,"rand ok"
hash_verify,hash_verify_rand_11,Pass,"rand ok"
hash_verify,hash_verify_rand_12,Pass,"rand ok"
hash_verify,hash_verify_rand_13,Pass,"rand ok"
hash_verify,hash_verify_rand_14,Pass,"rand ok"
hash_verify,hash_verify_rand_15,Pass,"rand ok"
hash_verify,hash_verify_rand_16,Pass,"rand ok"
hash_verify,hash_verify_rand_17,Pass,"rand ok"
hash_verify,hash_verify_rand_18,Pass,"rand ok"
hash_verify,hash_verify_rand_19,Pass,"rand ok"
hash_verify,hash_verify_rand_20,Pass,"rand ok"
hash_verify,hash_verify_rand_21,Pass,"rand ok"
hash_verify,hash_verify_rand_22,Pass,"rand ok"
hash_verify,hash_verify_rand_23,Pass,"rand ok"
hash_verify,hash_verify_rand_24,Pass,"rand ok"
hash_verify,hash_verify_rand_25,Pass,"rand ok"
hash_verify,hash_verify_rand_26,Pass,"rand ok"
hash_verify,hash_verify_rand_27,Pass,"rand ok"
hash_verify,hash_verify_rand_28,Pass,"rand ok"
hash_verify,hash_verify_rand_29,Pass,"rand ok"
hash_verify,hash_verify_rand_30,Pass,"rand ok"
hash_verify,hash_verify_rand_31,Pass,"rand ok"
hash_verify,hash_verify_rand_32,Pass,"rand ok"
hash_verify,hash_verify_rand_33,Pass,"rand ok"
hash_verify,hash_verify_rand_34,Pass,"rand ok"
hash_verify,hash_verify_rand_35,Pass,"rand ok"
hash_verify,hash_verify_rand_36,Pass,"rand ok"
hash_verify,hash_verify_rand_37,Pass,"rand ok"
hash_verify,hash_verify_rand_38,Pass,"rand ok"
hash_verify,hash_verify_rand_39,Pass,"rand ok"
hash_verify,hash_verify_rand_40,Pass,"rand ok"
hash_verify,hash_verify_rand_41,Pass,"rand ok"
hash_verify,hash_verify_rand_42,Pass,"rand ok"
hash_verify,hash_verify_rand_43,Pass,"rand ok"
hash_verify,hash_verify_rand_44,Pass,"rand ok"
hash_verify,hash_verify_rand_45,Pass,"rand ok"
hash_verify,hash_verify_rand_46,Pass,"rand ok"
hash_verify,hash_verify_rand_47,Pass,"rand ok"
hash_verify,hash_verify_rand_48,Pass,"rand ok"
hash_verify,hash_verify_rand_49,Pass,"rand ok"
hash_verify,hash_verify_rand_50,Pass,"rand ok"
hash_verify,hash_verify_rand_51,Pass,"rand ok"
hash_verify,hash_verify_rand_52,Pass,"rand ok"
hash_verify,hash_verify_rand_53,Pass,"rand ok"
hash_verify,hash_verify_rand_54,Pass,"rand ok"
hash_verify,hash_verify_rand_55,Pass,"rand ok"
hash_verify,hash_verify_rand_56,Pass,"rand ok"
hash_verify,hash_verify_rand_57,Pass,"rand ok"
hash_verify,hash_verify_rand_58,Pass,"rand ok"
hash_verify,hash_verify_rand_59,Pass,"rand ok"
hash_verify,hash_verify_rand_60,Pass,"rand ok"
hash_verify,hash_verify_rand_61,Pass,"rand ok"
hash_verify,hash_verify_rand_62,Pass,"rand ok"
hash_verify,hash_verify_rand_63,Pass,"rand ok"
hash_verify,repeat_hash_0,Pass,"ok"
hash_verify,repeat_hash_1,Pass,"ok"
hash_verify,repeat_hash_2,Pass,"ok"
hash_verify,repeat_hash_3,Pass,"ok"
hash_verify,repeat_hash_4,Pass,"ok"
hash_verify,repeat_hash_5,Pass,"ok"
hash_verify,repeat_hash_6,Pass,"ok"
hash_verify,repeat_hash_7,Pass,"ok"
hash_verify,random_salt_0,Pass,"random salt verify"
hash_verify,random_salt_1,Pass,"random salt verify"
hash_verify,random_salt_2,Pass,"random salt verify"
hash_verify,random_salt_3,Pass,"random salt verify"
hash_verify,random_salt_4,Pass,"random salt verify"
hash_verify,random_salt_5,Pass,"random salt verify"
hash_verify,random_salt_6,Pass,"random salt verify"
hash_verify,random_salt_7,Pass,"random salt verify"
hash_verify,random_salt_8,Pass,"random salt verify"
hash_verify,random_salt_9,Pass,"random salt verify"
hash_verify,random_salt_10,Pass,"random salt verify"
hash_verify,random_salt_11,Pass,"random salt verify"
hash_verify,random_salt_12,Pass,"random salt verify"
hash_verify,random_salt_13,Pass,"random salt verify"
hash_verify,random_salt_14,Pass,"random salt verify"
hash_verify,random_salt_15,Pass,"random salt verify"
hash_verify,kat_0_boundary-1mib-fan2-salt8,Pass,"digest_match=true verify=true"
hash_verify,kat_1_boundary-1mib-fan4-salt32,Pass,"digest_match=true verify=true"
