suite,case_id,status,detail
differential,diff_0,Pass,"len=8 ref_eq=true"
differential,diff_1,Pass,"len=64 ref_eq=true"
differential,diff_2,Pass,"len=32 ref_eq=true"
differential,diff_3,Pass,"len=64 ref_eq=true"
differential,diff_4,Pass,"len=32 ref_eq=true"
differential,diff_5,Pass,"len=8 ref_eq=true"
differential,diff_6,Pass,"len=8 ref_eq=true"
differential,diff_7,Pass,"len=64 ref_eq=true"
differential,diff_8,Pass,"len=64 ref_eq=true"
differential,diff_9,Pass,"len=8 ref_eq=true"
differential,diff_10,Pass,"len=32 ref_eq=true"
differential,diff_11,Pass,"len=128 ref_eq=true"
differential,diff_12,Pass,"len=64 ref_eq=true"
differential,diff_13,Pass,"len=8 ref_eq=true"
differential,diff_14,Pass,"len=8 ref_eq=true"
differential,diff_15,Pass,"len=32 ref_eq=true"
differential,diff_16,Pass,"len=64 ref_eq=true"
differential,diff_17,Pass,"len=64 ref_eq=true"
differential,diff_18,Pass,"len=64 ref_eq=true"
differential,diff_19,Pass,"len=128 ref_eq=true"
differential,diff_20,Pass,"len=16 ref_eq=true"
differential,diff_21,Pass,"len=64 ref_eq=true"
differential,diff_22,Pass,"len=64 ref_eq=true"
differential,diff_23,Pass,"len=64 ref_eq=true"
differential,diff_24,Pass,"len=32 ref_eq=true"
differential,diff_25,Pass,"len=8 ref_eq=true"
differential,diff_26,Pass,"len=8 ref_eq=true"
differential,diff_27,Pass,"len=128 ref_eq=true"
differential,diff_28,Pass,"len=128 ref_eq=true"
differential,diff_29,Pass,"len=128 ref_eq=true"
differential,diff_30,Pass,"len=64 ref_eq=true"
differential,diff_31,Pass,"len=8 ref_eq=true"
differential,diff_32,Pass,"len=128 ref_eq=true"
differential,diff_33,Pass,"len=16 ref_eq=true"
differential,diff_34,Pass,"len=64 ref_eq=true"
differential,diff_35,Pass,"len=16 ref_eq=true"
differential,diff_36,Pass,"len=128 ref_eq=true"
differential,diff_37,Pass,"len=128 ref_eq=true"
differential,diff_38,Pass,"len=64 ref_eq=true"
differential,diff_39,Pass,"len=8 ref_eq=true"
differential,self_reduced-critical-path,Pass,"det"
differential,self_cache-locality,Pass,"det"
determinism,prod_128,Pass,"128 identical digests"
determinism,ref_128_and_match_prod,Pass,"bcb60f80673ff9a8a4f1562c1790a9bcc9f2327f2bf4ed1b834b5e820ebb7c89"
determinism,threads_1,Pass,"same digest"
determinism,threads_2,Pass,"same digest"
determinism,threads_4,Pass,"same digest"
determinism,threads_8,Pass,"same digest"
