suite,case_id,status,detail
parser,valid_roundtrip,Pass,"encode parse encode"
parser,empty,Pass,"clean reject"
parser,truncated,Pass,"clean reject"
parser,missing_fields,Pass,"clean reject"
parser,extra_fields,Pass,"clean reject"
parser,duplicate_m,Pass,"clean reject"
parser,unknown_field,Pass,"clean reject"
parser,wrong_version,Pass,"clean reject"
parser,wrong_algo,Pass,"clean reject"
parser,negative_m,Pass,"clean reject"
parser,huge_m,Pass,"clean reject"
parser,leading_zeros_ok_or_err,Pass,"leading zeros behavior recorded"
parser,whitespace,Pass,"clean reject"
parser,unicode,Pass,"clean reject"
parser,missing_salt,Pass,"clean reject"
parser,missing_digest,Pass,"clean reject"
parser,odd_hex,Pass,"clean reject"
parser,invalid_hex,Pass,"clean reject"
parser,uppercase_hex,Pass,"uppercase hex accepted (valid)"
parser,trailing,Pass,"clean reject"
parser,embedded_nul_str,Pass,"clean reject"
parser,oversized,Pass,"clean reject"
legacy,legacy_0,Pass,"rejected"
legacy,legacy_1,Pass,"rejected"
legacy,legacy_2,Pass,"rejected"
