suite,case_id,status,detail
salt,len_8_zero,Pass,"verify=true ref_match=true"
salt,len_8_ff,Pass,"verify=true ref_match=true"
salt,len_8_repeat_a5,Pass,"verify=true ref_match=true"
salt,len_8_random,Pass,"random salt"
salt,len_9_zero,Pass,"verify=true ref_match=true"
salt,len_9_ff,Pass,"verify=true ref_match=true"
salt,len_9_repeat_a5,Pass,"verify=true ref_match=true"
salt,len_9_random,Pass,"random salt"
salt,len_15_zero,Pass,"verify=true ref_match=true"
salt,len_15_ff,Pass,"verify=true ref_match=true"
salt,len_15_repeat_a5,Pass,"verify=true ref_match=true"
salt,len_15_random,Pass,"random salt"
salt,len_16_zero,Pass,"verify=true ref_match=true"
salt,len_16_ff,Pass,"verify=true ref_match=true"
salt,len_16_repeat_a5,Pass,"verify=true ref_match=true"
salt,len_16_random,Pass,"random salt"
salt,len_17_zero,Pass,"verify=true ref_match=true"
salt,len_17_ff,Pass,"verify=true ref_match=true"
salt,len_17_repeat_a5,Pass,"verify=true ref_match=true"
salt,len_17_random,Pass,"random salt"
salt,len_31_zero,Pass,"verify=true ref_match=true"
salt,len_31_ff,Pass,"verify=true ref_match=true"
salt,len_31_repeat_a5,Pass,"verify=true ref_match=true"
salt,len_31_random,Pass,"random salt"
salt,len_32_zero,Pass,"verify=true ref_match=true"
salt,len_32_ff,Pass,"verify=true ref_match=true"
salt,len_32_repeat_a5,Pass,"verify=true ref_match=true"
salt,len_32_random,Pass,"random salt"
salt,len_33_zero,Pass,"verify=true ref_match=true"
salt,len_33_ff,Pass,"verify=true ref_match=true"
salt,len_33_repeat_a5,Pass,"verify=true ref_match=true"
salt,len_33_random,Pass,"random salt"
salt,len_63_zero,Pass,"verify=true ref_match=true"
salt,len_63_ff,Pass,"verify=true ref_match=true"
salt,len_63_repeat_a5,Pass,"verify=true ref_match=true"
salt,len_63_random,Pass,"random salt"
salt,len_64_zero,Pass,"verify=true ref_match=true"
salt,len_64_ff,Pass,"verify=true ref_match=true"
salt,len_64_repeat_a5,Pass,"verify=true ref_match=true"
salt,len_64_random,Pass,"random salt"
salt,len_65_zero,Pass,"verify=true ref_match=true"
salt,len_65_ff,Pass,"verify=true ref_match=true"
salt,len_65_repeat_a5,Pass,"verify=true ref_match=true"
salt,len_65_random,Pass,"random salt"
salt,len_127_zero,Pass,"verify=true ref_match=true"
salt,len_127_ff,Pass,"verify=true ref_match=true"
salt,len_127_repeat_a5,Pass,"verify=true ref_match=true"
salt,len_127_random,Pass,"random salt"
salt,len_128_zero,Pass,"verify=true ref_match=true"
salt,len_128_ff,Pass,"verify=true ref_match=true"
salt,len_128_repeat_a5,Pass,"verify=true ref_match=true"
salt,len_128_random,Pass,"random salt"
salt,len_129_zero,Pass,"verify=true ref_match=true"
salt,len_129_ff,Pass,"verify=true ref_match=true"
salt,len_129_repeat_a5,Pass,"verify=true ref_match=true"
salt,len_129_random,Pass,"random salt"
salt,len_255_zero,Pass,"verify=true ref_match=true"
salt,len_255_ff,Pass,"verify=true ref_match=true"
salt,len_255_repeat_a5,Pass,"verify=true ref_match=true"
salt,len_255_random,Pass,"random salt"
salt,len_256_zero,Pass,"verify=true ref_match=true"
salt,len_256_ff,Pass,"verify=true ref_match=true"
salt,len_256_repeat_a5,Pass,"verify=true ref_match=true"
salt,len_256_random,Pass,"random salt"
salt,truncated_salt,Pass,"clean error"
salt,oversized_salt_hex,Pass,"clean error"
salt,wrong_declared_len,Pass,"clean error"
salt,invalid_salt_hex,Pass,"clean error"
memory,cfg_1024,Pass,"config accepted"
memory,derive_1024,Pass,"ref_match=true verify=true"
memory,cfg_1025,Pass,"config accepted"
memory,derive_1025,Pass,"ref_match=true verify=true"
memory,cfg_16384,Pass,"config accepted"
memory,derive_16384,Pass,"ref_match=true verify=true"
memory,cfg_24576,Pass,"config accepted"
memory,api_24576,Pass,"api verify (engine↔ref covered at ≤16MiB)"
memory,engine_ref_24576,NotApplicable,"skipped full 24/32 MiB engine↔ref walk (time); see ≤16 MiB"
memory,cfg_32768,Pass,"config accepted"
memory,api_32768,Pass,"api verify (engine↔ref covered at ≤16MiB)"
memory,engine_ref_32768,NotApplicable,"skipped full 24/32 MiB engine↔ref walk (time); see ≤16 MiB"
memory,cfg_1048575,Pass,"config accepted"
memory,api_admit_1048575,Pass,"host ResourcePolicy rejects >128 MiB"
